Time,T° OD600:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:09:16,37,0.091,0.092,0.09,0.078,0.079,0.078,0.078,0.08,0.08,0.081,0.079,0.09,0.09,0.107,0.103,0.096,0.095,0.094,0.095,0.094,0.09,0.094,0.092,0.09,0.09,0.111,0.107,0.093,0.091,0.091,0.091,0.092,0.091,0.092,0.093,0.089,0.09,0.106,0.106,0.091,0.092,0.091,0.093,0.091,0.09,0.092,0.093,0.089,0.09,0.104,0.104,0.09,0.089,0.089,0.088,0.09,0.088,0.091,0.092,0.089,0.089,0.102,0.103,0.093,0.091,0.09,0.088,0.09,0.091,0.092,0.093,0.091,0.09,0.104,0.104,0.097,0.094,0.096,0.093,0.092,0.091,0.094,0.095,0.089,0.093,0.09,0.092,0.079,0.08,0.078,0.078,0.08,0.078,0.083,0.081,0.092
0:19:16,37,0.091,0.091,0.09,0.078,0.079,0.078,0.078,0.08,0.08,0.081,0.079,0.09,0.09,0.108,0.107,0.097,0.099,0.093,0.095,0.097,0.093,0.095,0.092,0.09,0.09,0.112,0.108,0.096,0.093,0.093,0.093,0.098,0.092,0.093,0.094,0.089,0.09,0.107,0.107,0.093,0.092,0.09,0.093,0.09,0.09,0.093,0.095,0.089,0.09,0.104,0.104,0.09,0.089,0.09,0.089,0.09,0.089,0.094,0.094,0.089,0.089,0.103,0.104,0.095,0.093,0.093,0.091,0.093,0.094,0.095,0.095,0.091,0.09,0.104,0.104,0.096,0.096,0.094,0.091,0.093,0.092,0.096,0.096,0.089,0.092,0.089,0.092,0.079,0.08,0.078,0.078,0.08,0.078,0.083,0.081,0.092
0:29:16,37,0.091,0.091,0.09,0.078,0.079,0.078,0.078,0.08,0.08,0.081,0.079,0.09,0.09,0.112,0.113,0.097,0.099,0.093,0.095,0.097,0.094,0.096,0.091,0.09,0.09,0.116,0.111,0.096,0.096,0.093,0.093,0.1,0.093,0.093,0.094,0.089,0.09,0.111,0.11,0.095,0.093,0.092,0.094,0.091,0.091,0.095,0.095,0.089,0.09,0.105,0.105,0.092,0.09,0.091,0.09,0.09,0.091,0.096,0.094,0.089,0.089,0.104,0.104,0.095,0.094,0.093,0.091,0.094,0.094,0.096,0.094,0.091,0.09,0.105,0.105,0.096,0.096,0.094,0.091,0.094,0.092,0.096,0.095,0.089,0.092,0.089,0.092,0.079,0.08,0.078,0.079,0.081,0.078,0.083,0.081,0.092
0:39:15,37,0.091,0.091,0.09,0.078,0.079,0.078,0.078,0.08,0.08,0.081,0.079,0.09,0.09,0.119,0.121,0.098,0.099,0.093,0.095,0.097,0.094,0.096,0.095,0.09,0.09,0.121,0.115,0.097,0.096,0.093,0.093,0.1,0.094,0.092,0.094,0.089,0.089,0.116,0.114,0.096,0.093,0.094,0.095,0.092,0.091,0.096,0.095,0.089,0.09,0.107,0.108,0.093,0.091,0.091,0.091,0.092,0.092,0.096,0.093,0.089,0.089,0.107,0.106,0.095,0.095,0.093,0.091,0.094,0.094,0.096,0.094,0.091,0.09,0.107,0.108,0.096,0.096,0.094,0.091,0.094,0.092,0.097,0.095,0.089,0.092,0.089,0.092,0.079,0.08,0.078,0.079,0.081,0.078,0.083,0.081,0.092
0:49:16,37,0.091,0.091,0.09,0.078,0.079,0.078,0.078,0.08,0.08,0.081,0.079,0.09,0.09,0.128,0.132,0.098,0.099,0.093,0.095,0.097,0.095,0.097,0.095,0.089,0.09,0.129,0.121,0.097,0.097,0.093,0.093,0.099,0.093,0.095,0.094,0.089,0.089,0.123,0.119,0.096,0.095,0.094,0.094,0.092,0.093,0.096,0.095,0.089,0.09,0.11,0.112,0.093,0.091,0.091,0.09,0.093,0.092,0.096,0.094,0.089,0.089,0.111,0.109,0.095,0.094,0.093,0.091,0.093,0.095,0.097,0.094,0.091,0.09,0.111,0.112,0.097,0.096,0.094,0.091,0.094,0.092,0.097,0.095,0.089,0.092,0.089,0.092,0.079,0.08,0.078,0.079,0.081,0.078,0.083,0.081,0.092
0:59:16,37,0.091,0.091,0.09,0.078,0.079,0.078,0.078,0.08,0.08,0.081,0.079,0.09,0.09,0.141,0.15,0.099,0.1,0.093,0.095,0.098,0.095,0.097,0.095,0.089,0.09,0.138,0.13,0.097,0.097,0.094,0.092,0.101,0.094,0.097,0.095,0.089,0.09,0.132,0.127,0.096,0.096,0.094,0.095,0.093,0.093,0.097,0.096,0.089,0.09,0.116,0.118,0.093,0.092,0.091,0.091,0.093,0.092,0.097,0.094,0.089,0.089,0.117,0.115,0.096,0.095,0.093,0.091,0.093,0.094,0.098,0.094,0.091,0.09,0.116,0.119,0.097,0.097,0.094,0.091,0.094,0.092,0.098,0.095,0.089,0.092,0.09,0.092,0.079,0.08,0.078,0.079,0.081,0.078,0.083,0.081,0.092
1:09:16,37,0.091,0.091,0.09,0.079,0.079,0.078,0.078,0.08,0.08,0.081,0.079,0.09,0.09,0.16,0.173,0.099,0.1,0.094,0.095,0.098,0.095,0.098,0.096,0.09,0.09,0.152,0.143,0.098,0.098,0.094,0.093,0.103,0.094,0.098,0.095,0.089,0.09,0.145,0.139,0.097,0.097,0.094,0.095,0.094,0.093,0.098,0.096,0.089,0.09,0.123,0.126,0.094,0.093,0.092,0.09,0.093,0.092,0.098,0.094,0.089,0.089,0.126,0.123,0.097,0.095,0.093,0.091,0.094,0.094,0.099,0.094,0.091,0.09,0.124,0.127,0.097,0.097,0.095,0.092,0.094,0.092,0.1,0.095,0.089,0.092,0.09,0.092,0.079,0.08,0.078,0.079,0.081,0.079,0.083,0.081,0.092
1:19:16,37,0.091,0.092,0.09,0.079,0.079,0.078,0.079,0.08,0.08,0.081,0.079,0.09,0.09,0.185,0.205,0.1,0.101,0.094,0.095,0.098,0.095,0.1,0.096,0.09,0.09,0.17,0.159,0.098,0.098,0.095,0.093,0.103,0.094,0.098,0.095,0.089,0.09,0.163,0.153,0.098,0.098,0.095,0.096,0.096,0.094,0.099,0.096,0.09,0.09,0.133,0.138,0.096,0.095,0.092,0.091,0.094,0.092,0.1,0.094,0.089,0.089,0.136,0.134,0.097,0.096,0.093,0.091,0.094,0.094,0.101,0.094,0.091,0.09,0.134,0.139,0.098,0.098,0.094,0.092,0.094,0.092,0.101,0.095,0.089,0.093,0.09,0.092,0.079,0.08,0.079,0.079,0.081,0.079,0.083,0.082,0.092
1:29:16,37,0.091,0.091,0.09,0.079,0.079,0.078,0.078,0.081,0.08,0.081,0.079,0.09,0.09,0.217,0.245,0.1,0.101,0.095,0.095,0.099,0.095,0.101,0.096,0.09,0.09,0.196,0.18,0.099,0.098,0.095,0.093,0.104,0.093,0.099,0.095,0.089,0.09,0.187,0.172,0.098,0.099,0.095,0.095,0.096,0.094,0.1,0.097,0.089,0.09,0.145,0.154,0.096,0.095,0.092,0.091,0.093,0.092,0.102,0.094,0.089,0.089,0.15,0.149,0.098,0.096,0.095,0.091,0.094,0.094,0.103,0.094,0.091,0.09,0.146,0.154,0.098,0.098,0.094,0.091,0.094,0.092,0.103,0.095,0.089,0.092,0.089,0.092,0.079,0.08,0.079,0.079,0.081,0.079,0.083,0.082,0.092
1:39:16,37,0.091,0.091,0.09,0.079,0.079,0.078,0.078,0.08,0.08,0.082,0.079,0.09,0.09,0.25,0.291,0.101,0.102,0.094,0.095,0.099,0.094,0.102,0.096,0.09,0.09,0.223,0.208,0.099,0.099,0.095,0.092,0.104,0.093,0.1,0.095,0.089,0.09,0.213,0.195,0.098,0.1,0.095,0.095,0.097,0.094,0.102,0.097,0.089,0.09,0.161,0.174,0.096,0.096,0.092,0.091,0.093,0.092,0.104,0.094,0.089,0.089,0.167,0.167,0.097,0.096,0.093,0.091,0.094,0.094,0.105,0.094,0.091,0.09,0.16,0.174,0.098,0.098,0.094,0.091,0.094,0.092,0.105,0.095,0.089,0.092,0.089,0.092,0.079,0.08,0.078,0.079,0.081,0.079,0.083,0.081,0.092
